taper off,先細りになる
tear down,(建物などを)取り壊す [=demolish]
thin out,〜を減らす [=cut back]
thrash out,〜を徹底的に議論する [=discuss ~ fully]
throw in,〜を差し挟む
tide ~ over,(人に)困難を乗り切らせる
tie A in with B,AをBと結びつける [=connect ~ with]
tip off,〜に密告する [=give away]
tower over,〜をはるかに超える
toy with,(考えなどを)いい加減に扱う
trail off,次第に小さくなる [=tail off]
trim down,~を削減する [=cut back on, pare down]
trip over,転ぶ [=fall down]
trump up,~を捏造する [=cook up, fabricate, fake]
turn over a new leaf,心を入れ替える [=begin a new life]
vouch for,~を保証する [=guarantee, endorse]
walk out on,(人)のもとを去る [=leave]
wash out,(試合などを)(雨で)中止させる [=rain out]、~を疲れさせる [=fatigue]
weed out,~を排除する [=remove]
weigh in,仲裁に入る [=intervene]、割り込む [=interpose]
whip up,(感情を)かき立てる、~を手早くこしらえる [=cook up]
whisk away,~を持ち去る
win over,~を味方に入れる [=get someone on one's side]
wind down,くつろぐ [=relax]、(ネジが)ゆるむ
wind up doing,~する羽目になる [=end up doing]
wipe out,~を撲滅する [=eradicate]
wolf down,~をがつがつ食べる [=scarf down]
wrap up,~を終える [=finish]
wriggle out of,~をうまく切り抜ける [=evade]
wring A out of B,AをBから絞り出す [=squeeze out]
zero in on,~に照準を合わせる [=home in on, focus on]
