wrench [rentʃ],をねじる [= twist]，を捻挫する，を歪曲する [= distort]
beckon [békən],"に（〜するように）合図する〈to do〉，をおびき寄せる [= attract, lure]"
deploy [dɪplɔ́ɪ],を配置する [= station]，（軍隊）を展開させる
detonate [détənèɪt],爆発する [= explode]
dispatch [dɪspǽtʃ],を急送する，を急派する [= expedite]
encompass [ɪnkʌ́mpəs],を囲む [= encircle]，を含む
encrypt [ɪnkrɪ́pt],を暗号化する（⇔decrypt を解読する）
exonerate [ɪgzɑ́(ː)nərèɪt],"を（〜から）無罪とする〈from, of〉"
fetter [fétər],を拘束する [= bind]
gloat [gloʊt],ほくそ笑む，さも満足そうに眺める
haggle [hǽgl],値切る，言い争う
alienate [éɪliənèɪt],を遠ざける [= estrange]
shun [ʃʌn],"を避ける [= avoid, evade]"
dissuade [dɪswéɪd],に（〜を）思いとどまらせる [= discourage]（⇔persuade）〈from〉
admonish [ədmɑ́(ː)nɪʃ],を（〜が理由で）注意する [= reprimand]〈for〉
slam [slæm],をびしゃりと閉める，をたたきつける
squander [skwɑ́(ː)ndər],"を浪費する [= lavish, waste, spend extravagantly]"
subordinate [səbɔ́ːrdənèɪt],を（〜に）従属させる〈to〉
succumb [səkʌ́m],（〜に）負ける [= give in]〈to〉
tally [tǽli],（〜と）符合する〈with〉，を集計する
teeter [tíːtər],ぐらつく，シーソーに乗る
tout [taʊt],を押し売りする，を（〜だと）褒めちぎる〈as〉
traverse [trəvə́ːrs],を横断する [= travel across]
veer [vɪər],進路を変える，（政策などが）転換する
veto [víːtoʊ],（法案など）に拒否権を行使する
weather [wéðər],を切り抜ける [= survive]
wince [wɪns],顔をしかめる，たじろぐ [= shrink]
scuttle [skʌ́tl],急ぎ足で歩く
agonize [ǽgənàɪz],（〜で）苦悶する〈over〉
bask [bæsk],日光浴をする [= sunbathe]，享受する [= delight]
concoct [kənkɑ́(ː)kt],"をでっち上げる [= fabricate, cook up]，を混ぜ合わせて作る"
delve [delv],を（徹底的に）調査する〈into〉[= search]
evade [ɪvéɪd],を避ける
interject [ìntərdʒékt],（言葉）を差し挟む [= interpose]
linger [lɪ́ŋgər],ぶらぶらする [= loiter]，ぐずぐずする [= delay]
pawn [pɔːn],を質[担保]に入れる
procure [prəkjʊ́ər],"を入手する，を調達する [= obtain, secure]"
reclaim [rɪkléɪm],を取り戻す，を更生させる，を埋め立てる
recur [rɪkə́ːr],再び起こる [= occur again]
reminisce [rèmɪnɪ́s],（〜の）思い出を語る〈about〉，思い出にふける
replenish [rɪplénɪʃ],を補充する [= fill up]
scrawl [skrɔːl],"をぞんざいに書く [= scribble, write carelessly]"
hurtle [hə́ːrtl],（猛スピードで）突進する [= career]，びゅーんと飛ぶ
disparage [dɪspǽrɪdʒ],を見くびる [= undervalue]
incur [ɪnkə́ːr],（負債・損害など）を負う，（怒りなど）を買う [= invite]
tarnish [tɑ́ːrnɪʃ],を損なわせる [= stain]
deplete [dɪplíːt],を使い果たす [= exhaust]
project [prədʒékt],"を見積もる [= guess, estimate]，を提示する [= propose]"
founder [fáʊndər],"失敗する [= fail, blunder]，（船が）浸水して沈没する"
justify [dʒʌ́stɪfài],を正当化する，の正当性を示す
diversity [daɪvə́ːrsəti],多様性 [= variety]
extinction [ɪkstíŋkʃən],絶滅 [= disappearance]
specimen [spésəmən],標本 [= sample]
perspective [pərspéktɪv],"観点 [= viewpoint, standpoint]，展望 [= vista]"
enforcement [ɪnfɔ́ːrsmənt],（法律などの）施行
breakthrough [bréɪkθrùː],大進歩 [= significant advance or achievement]，突破
myriad [míriad],無数
perception [pərsépʃən],認識 [= discernment]，知覚
endowment [ɪndáʊmənt],"寄付（金） [= contribution, donation of money]"
gist [dʒɪst],要点，骨子 [= essence]
influx [ɪ́nflʌks],流入
backlash [bǽklæʃ],（思想などへの）反発，反動 [= reaction]〈against〉，（機械の）緩み
onset [ɔ́(ː)nsèt],"始まり [= start, beginning]，兆候"
paternity [pətə́ːrnəti],父親であること [= fatherhood]（⇔maternity 母親であること）
preservation [prèzərvéɪʃən],保存，保護 [= conservation]
verdict [vəːrdɪkt],（陪審員の）評決，決定 [= decision]，判断 [= judgment]
credibility [krèdəbɪ́ləti],信頼，信憑性 [= reliability]，確実性
momentum [moʊméntəm],勢い [= impetus]，運動量
brevity [brévəti],"（時の）短さ，簡潔さ [= shortness, briefness, conciseness]"
buffer [bʌ́fər],"衝突を和らげる人（物），緩衝器 [= shield, cushion, shock absorber]"
knack [næk],"（〜の）こつ〈of, for〉，要領"
viability [vàɪəbɪ́ləti],実現可能性 [= feasibility]
auspice [ɔ́ːspɪs],"保護，後援 [= patronage, aegis, support]"
requisite [rékwɪzɪt],（〜の）必要条件 [= requirement]〈for〉
prerequisite [prì:rékwɪzɪt],（〜に）（前もって）必要なもの〈for〉，前提条件
feat [fiːt],偉業 [= achievement]
gravity [grǽvəti],重力，引力 [= gravitation]，重さ [= weight]，重大さ [= seriousness]
jinx [dʒɪŋks],悪運 [= bad luck]
omen [óʊmən],"前兆 [= prognostic, augury, foreboding]"
precedent [présɪdənt],前例 [= previous case]
prelude [préljùːd],前兆 [= forerunner]
harbinger [hɑ́ːrbɪndʒər],前触れ [= signal]
